"Name", "Quantity","Cost Per Item (USD)","Total (USD)","Purpose","Distributor","Link"
"PCB fabrication and shipping","1","$3.50","$3.50","pcb for my hackpad","JLCPCB","No Link"
"Ali Express shipping and fees","1","$4.73","$4.73","Shipping","Ali Express","No Link"
"M3x5mx4mm heatset inserts","1","$4.09","$4.09","secure threading for the M3 screw","Ali Express","[Link](https://www.aliexpress.us/item/2255800046543591.html)"
"M3x16mm screws","1","$1.05","$1.05","Secures top and bottom parts of the cases together","Ali Express","[Link](https://www.aliexpress.us/item/3256805692722422.html?spm=a2g0o.productlist.main.15.6bdaXiwWXiwW4C&utparam-url=scene%3Asearch%7Cquery_from%3Apc_back_same_best%7Cx_object_id%3A1005005879037174%7C_p_origin_prod%3A&algo_pvid=056d9f9f-cd17-4a96-b4b5-7e28a3cb7079&algo_exp_id=056d9f9f-cd17-4a96-b4b5-7e28a3cb7079&pdp_ext_f=%7B%22order%22%3A%2239378%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.11%210.99%21%21%211.11%210.99%21%402101f11417740613553598176ea51c%2112000034679037238%21sea%21US%217455183214%21ABX%211%210%21n_tag%3A-29910%3Bd%3A4adcddb6%3Bm03_new_user%3A-29895%3BpisId%3A5000000197847491&gatewayAdapt=4itemAdapt)"
"1u Key caps","1","$3.79","$3.79","The covering for the keys","Ali Express","[Link](https://www.aliexpress.com/item/1005008678389468.html?spm=a2g0o.productlist.main.6.5e71STAXSTAXa6&algo_pvid=f8f6b19f-95d8-4d9a-bf05-5c7b79d7c726&algo_exp_id=f8f6b19f-95d8-4d9a-bf05-5c7b79d7c726-5&pdp_ext_f=%7B%22order%22%3A%22158%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%214.23%212.23%21%21%214.23%212.23%21%40210311c217741745460307955e969e%2112000046204757643%21sea%21AU%217402515296%21X%211%210%21n_tag%3A-29911%3Bd%3Aef1e07f3%3Bm03_new_user%3A-29895%3BpisId%3A5000000202132944&curPageLogUid=USF9TxF5Xjpt&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008678389468%7C_p_origin_prod%3A)"
"5-pin PCB-mount switch","30 pack (No 20 or 16 option)","$8.00","$8.00","The keyboard keys","Ali Express","[Link](https://www.aliexpress.us/item/3256806239135691.html?spm=a2g0o.productlist.main.1.555cY61VY61Voz&algo_pvid=f4678bb1-d8bc-4f13-acc6-d405ddda900a&algo_exp_id=f4678bb1-d8bc-4f13-acc6-d405ddda900a-0&pdp_ext_f=%7B%22order%22%3A%222257%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.96%210.99%21%21%2120.28%216.79%21%40210319b017740604574907332ebb44%2112000037120671469%21sea%21US%217455183214%21ABX%211%210%21n_tag%3A-29910%3Bd%3A4adcddb6%3Bm03_new_user%3A-29895%3BpisId%3A5000000197847458&curPageLogUid=wFaqavLZ7pag&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006425450443%7C_p_origin_prod%3A)"
"5V SK6812MINI-E rgb leds","10","$0.283","$2.83","Shows colours to indicate signals","Ali Express","[Link](https://www.aliexpress.us/item/3256805154503907.html?spm=a2g0o.cart.0.0.255738daUjnIZC&mp=1&pdp_npi=6%40dis%21USD%21USD%203.88%21USD%202.83%21%21USD%202.83%21%21%21%40210328d417740598605087437e76d7%2112000032670306832%21ct%21US%217455183214%21%211%210%21&_gl=1*ctc1p2*_gcl_aw*R0NMLjE3NzQwNTk2MzMuQ2owS0NRanc0UFBOQmhEOEFSSXNBTW8taWN6aTRJXzhFRUkxVTdYOW5nZHUwR3F6SnFwb29VemlmOGJaQUV5dkF0b2ZXS0tSU0NqTUFya2FBbVZsRUFMd193Y0I.*_gcl_dc*R0NMLjE3NzQwNTk2MzMuQ2owS0NRanc0UFBOQmhEOEFSSXNBTW8taWN6aTRJXzhFRUkxVTdYOW5nZHUwR3F6SnFwb29VemlmOGJaQUV5dkF0b2ZXS0tSU0NqTUFya2FBbVZsRUFMd193Y0I.*_gcl_au*MTM5MDY2MTQ1Ny4xNzc0MDIzODky*_ga*Njc2OTI3NDYwMTEwMDc2LjE3NzQwMjM4ODg0ODQ.*_ga_VED1YSGNC7*czE3NzQwNTc2MzgkbzQkZzEkdDE3NzQwNTk4NjIkajUyJGwwJGgw&gatewayAdapt=glo2usa)"
"0.91 inch SSD1306 I2C 128x32 OLED display","1","$2.85","$2.85","Displays information and animations","Ali Express","[Link](https://www.aliexpress.com/item/1005006823025817.html?mp=1&pdp_npi=6@dis!USD!USD%203.03!USD%202.85!!USD%202.85!!!@2101f70717741760867295397e5ca9!12000038417220460!ct!AU!7402515296!!1!0!)"
"Seed Xiao - RP2040","1","$4.68","$4.68","Microcontroller - the power source and control","Ali Express","[Link](https://www.aliexpress.com/item/1005008652799938.html?spm=a2g0o.productlist.main.1.6d1dSic1Sic1iz&algo_pvid=2ce7fa80-8a21-431b-8aab-7c89d5b1e36c&algo_exp_id=2ce7fa80-8a21-431b-8aab-7c89d5b1e36c-0&pdp_ext_f=%7B%22order%22%3A%22219%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2114.45%214.04%21%21%2199.00%2127.72%21%402103274e17741757575204045eb231%2112000046106276655%21sea%21AU%217402515296%21X%211%210%21n_tag%3A-29911%3Bd%3Aef1e07f3%3Bm03_new_user%3A-29895&curPageLogUid=1OKs76xZs5r6&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008652799938%7C_p_origin_prod%3A)"
"Diodes","1","$2.74","$2.74","Diodes, so no ghost","Ali Express","[Link](https://www.aliexpress.com/item/1005007606166130.html?spm=a2g0o.productlist.main.3.5b632LkK2LkK7y&algo_pvid=5ecd24f1-13f3-4414-b47c-b5f0489edd12&algo_exp_id=5ecd24f1-13f3-4414-b47c-b5f0489edd12-2&pdp_ext_f=%7B%22order%22%3A%2243%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.74%212.63%21%21%2118.80%2118.05%21%402101e2b417741774821175327e5d1b%2112000045210201538%21sea%21AU%217402515296%21X%211%210%21n_tag%3A-29911%3Bd%3Aef1e07f3%3Bm03_new_user%3A-29895%3BpisId%3A5000000202470703&curPageLogUid=ELi0JhSGGJBV&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007606166130%7C_p_origin_prod%3A)"
